{'timestamp': '2025-07-26T15:21:27', 'printer_id': 'EE-Printer-1', 'user_id': 'student_040', 'pages': 20, 'document_name': 'Homework.docx', 'color': True, 'duplex': True, 'status': 'Completed', 'cost': 1.0, 'location': 'Electrical Engineering'}
{'timestamp': '2025-07-27T10:40:10', 'printer_id': 'CS-Printer-2', 'user_id': 'student_050', 'pages': 10, 'document_name': 'Resume.pdf', 'color': True, 'duplex': False, 'status': 'Canceled', 'cost': 0.0, 'location': 'Computer Science'}
{'timestamp': '2025-08-04T01:49:24', 'printer_id': 'CS-Printer-2', 'user_id': 'student_066', 'pages': 9, 'document_name': 'Syllabus.docx', 'color': False, 'duplex': False, 'status': 'Completed', 'cost': 0.18, 'location': 'Computer Science'}
{'timestamp': '2025-07-24T10:15:28', 'printer_id': 'EE-Printer-2', 'user_id': 'student_001', 'pages': 17, 'document_name': 'Resume.pdf', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.34, 'location': 'Electrical Engineering'}
{'timestamp': '2025-08-02T04:34:53', 'printer_id': 'EE-Printer-1', 'user_id': 'student_085', 'pages': 14, 'document_name': 'Resume.pdf', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.28, 'location': 'Electrical Engineering'}
{'timestamp': '2025-07-21T12:16:17', 'printer_id': 'CS-Printer-2', 'user_id': 'student_086', 'pages': 15, 'document_name': 'Resume.pdf', 'color': True, 'duplex': False, 'status': 'Completed', 'cost': 0.75, 'location': 'Computer Science'}
{'timestamp': '2025-08-06T07:47:30', 'printer_id': 'EE-Printer-3', 'user_id': 'student_025', 'pages': 14, 'document_name': 'Budget.xlsx', 'color': True, 'duplex': True, 'status': 'Error', 'cost': 0.0, 'location': 'Electrical Engineering'}
{'timestamp': '2025-08-07T13:17:09', 'printer_id': 'EE-Printer-3', 'user_id': 'student_118', 'pages': 20, 'document_name': 'LectureNotes.pptx', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.4, 'location': 'Electrical Engineering'}
{'timestamp': '2025-07-29T04:31:20', 'printer_id': 'LA-Printer-2', 'user_id': 'staff_020', 'pages': 2, 'document_name': 'Resume.pdf', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.04, 'location': 'Liberal Arts'}
{'timestamp': '2025-07-24T04:33:57', 'printer_id': 'LA-Printer-2', 'user_id': 'student_021', 'pages': 29, 'document_name': 'ProjectReport.pdf', 'color': True, 'duplex': False, 'status': 'Completed', 'cost': 1.45, 'location': 'Liberal Arts'}
{'timestamp': '2025-08-12T14:38:10', 'printer_id': 'EE-Printer-2', 'user_id': 'student_195', 'pages': 21, 'document_name': 'LectureNotes.pptx', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.42, 'location': 'Electrical Engineering'}
{'timestamp': '2025-07-20T00:25:16', 'printer_id': 'EE-Printer-3', 'user_id': 'staff_005', 'pages': 1, 'document_name': 'LectureNotes.pptx', 'color': True, 'duplex': True, 'status': 'Completed', 'cost': 0.05, 'location': 'Electrical Engineering'}
{'timestamp': '2025-07-24T09:16:07', 'printer_id': 'LA-Printer-2', 'user_id': 'student_187', 'pages': 12, 'document_name': 'Budget.xlsx', 'color': True, 'duplex': True, 'status': 'Completed', 'cost': 0.6, 'location': 'Liberal Arts'}
{'timestamp': '2025-07-31T02:44:37', 'printer_id': 'EE-Printer-1', 'user_id': 'staff_015', 'pages': 27, 'document_name': 'Resume.pdf', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.54, 'location': 'Electrical Engineering'}
{'timestamp': '2025-08-05T01:44:17', 'printer_id': 'EE-Printer-2', 'user_id': 'student_029', 'pages': 15, 'document_name': 'Budget.xlsx', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.3, 'location': 'Electrical Engineering'}
{'timestamp': '2025-08-12T06:45:59', 'printer_id': 'LA-Printer-2', 'user_id': 'student_193', 'pages': 29, 'document_name': 'Syllabus.docx', 'color': False, 'duplex': False, 'status': 'Completed', 'cost': 0.58, 'location': 'Liberal Arts'}
{'timestamp': '2025-07-24T01:17:39', 'printer_id': 'CS-Printer-3', 'user_id': 'student_179', 'pages': 3, 'document_name': 'LectureNotes.pptx', 'color': False, 'duplex': False, 'status': 'Completed', 'cost': 0.06, 'location': 'Computer Science'}
{'timestamp': '2025-07-25T14:38:31', 'printer_id': 'LA-Printer-2', 'user_id': 'student_014', 'pages': 28, 'document_name': 'Syllabus.docx', 'color': False, 'duplex': False, 'status': 'Completed', 'cost': 0.56, 'location': 'Liberal Arts'}
{'timestamp': '2025-07-26T02:22:24', 'printer_id': 'CS-Printer-2', 'user_id': 'student_145', 'pages': 19, 'document_name': 'Homework.docx', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.38, 'location': 'Computer Science'}
{'timestamp': '2025-08-03T01:39:35', 'printer_id': 'EE-Printer-2', 'user_id': 'student_013', 'pages': 14, 'document_name': 'Homework.docx', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.28, 'location': 'Electrical Engineering'}
{'timestamp': '2025-08-01T03:47:42', 'printer_id': 'EE-Printer-1', 'user_id': 'student_079', 'pages': 15, 'document_name': 'Homework.docx', 'color': True, 'duplex': False, 'status': 'Completed', 'cost': 0.75, 'location': 'Electrical Engineering'}
{'timestamp': '2025-08-07T08:15:12', 'printer_id': 'CS-Printer-1', 'user_id': 'student_046', 'pages': 23, 'document_name': 'ResearchPaper.pdf', 'color': True, 'duplex': True, 'status': 'Completed', 'cost': 1.15, 'location': 'Computer Science'}
{'timestamp': '2025-08-09T10:15:03', 'printer_id': 'CS-Printer-1', 'user_id': 'student_147', 'pages': 1, 'document_name': 'ThesisDraft.docx', 'color': True, 'duplex': False, 'status': 'Completed', 'cost': 0.05, 'location': 'Computer Science'}
{'timestamp': '2025-07-23T06:12:37', 'printer_id': 'LA-Printer-1', 'user_id': 'student_119', 'pages': 10, 'document_name': 'Homework.docx', 'color': True, 'duplex': False, 'status': 'Completed', 'cost': 0.5, 'location': 'Liberal Arts'}
{'timestamp': '2025-08-06T14:58:27', 'printer_id': 'CS-Printer-1', 'user_id': 'student_046', 'pages': 11, 'document_name': 'ProjectReport.pdf', 'color': True, 'duplex': False, 'status': 'Completed', 'cost': 0.55, 'location': 'Computer Science'}
{'timestamp': '2025-07-25T09:39:40', 'printer_id': 'CS-Printer-2', 'user_id': 'student_184', 'pages': 27, 'document_name': 'Resume.pdf', 'color': False, 'duplex': False, 'status': 'Completed', 'cost': 0.54, 'location': 'Computer Science'}
{'timestamp': '2025-07-19T05:37:31', 'printer_id': 'EE-Printer-3', 'user_id': 'student_032', 'pages': 9, 'document_name': 'ProjectReport.pdf', 'color': True, 'duplex': True, 'status': 'Completed', 'cost': 0.45, 'location': 'Electrical Engineering'}
{'timestamp': '2025-07-18T13:32:10', 'printer_id': 'EE-Printer-3', 'user_id': 'student_122', 'pages': 23, 'document_name': 'Homework.docx', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.46, 'location': 'Electrical Engineering'}
{'timestamp': '2025-07-25T15:30:30', 'printer_id': 'CS-Printer-3', 'user_id': 'staff_014', 'pages': 15, 'document_name': 'Resume.pdf', 'color': True, 'duplex': True, 'status': 'Completed', 'cost': 0.75, 'location': 'Computer Science'}
{'timestamp': '2025-07-19T09:46:32', 'printer_id': 'CS-Printer-3', 'user_id': 'student_093', 'pages': 30, 'document_name': 'ResearchPaper.pdf', 'color': True, 'duplex': True, 'status': 'Completed', 'cost': 1.5, 'location': 'Computer Science'}
{'timestamp': '2025-07-29T15:00:08', 'printer_id': 'EE-Printer-1', 'user_id': 'student_105', 'pages': 27, 'document_name': 'Syllabus.docx', 'color': True, 'duplex': False, 'status': 'Completed', 'cost': 1.35, 'location': 'Electrical Engineering'}
{'timestamp': '2025-07-31T00:54:24', 'printer_id': 'LA-Printer-2', 'user_id': 'student_107', 'pages': 28, 'document_name': 'ResearchPaper.pdf', 'color': False, 'duplex': True, 'status': 'Completed', 'cost': 0.56, 'location': 'Liberal Arts'}
{'timestamp': '2025-07-29T02:28:38', 'printer_id': 'EE-Printer-3', 'user_id': 'student_158', 'pages': 25, 'document_name': 'LectureNotes.pptx', 'color': False, 'duplex': False, 'status': 'Completed', 'cost': 0.5, 'location': 'Electrical Engineering'}
